,ITempD-co,ISensD-co,FSensD-cr,FCoMl-co,ESensI-av,FCoM-av,FCoM-ga,FCoM-cr,FCoM-me
training_time,4.618326663970947,4.573176013098823,2.627564721637302,3.9726539717780223,2.9045252799987793,3.9900656276279025,7.60477015707228,7.635950697792901,7.4699922402699785
prediction_time_full,0.3041810194651286,0.3085164229075114,0.4169298807779948,0.3982016245524089,0.4252777894337972,0.4173428217569987,0.47869543234507245,0.48294727007548016,0.5639257828394572
prediction_time_S2_S2VI_100,0.2937002182006836,0.30711857477823895,0.34434016545613605,0.3366557757059733,0.41230519612630206,0.3249509334564209,0.4894424279530843,0.4022737344106038,0.46474969387054443
prediction_time_S2_S2VI_S1_100,0.31238802274068195,0.3188045024871826,0.37683741251627606,0.3774677912394206,0.4202419916788737,0.36759177843729657,0.5214650630950928,0.4304653803507487,0.5229640007019043
prediction_time_S1_weather_DEM_100,0.3018534183502197,0.3096474011739095,0.37637050946553546,0.392824649810791,0.4168110688527425,0.3839765389760335,0.5061251322428385,0.4367516040802002,0.519231120745341
